i;nbseat;nb_added;execution_time
0;16;10;7.99
1;12;6;8.049
2;18;12;7.941
3;18;12;8.043
4;15;9;7.984
5;22;16;7.955
6;17;11;8.029
7;15;9;7.966
8;16;10;7.906
9;16;10;8.1
