i;nbseat;nb_added;execution_time
0;1;1;0.043
1;5;5;0.105
2;1;1;0.003
3;7;7;0.083
4;1;1;0.002
5;1;1;0.002
6;1;1;0.001
7;1;1;0.002
8;1;1;0.002
9;1;1;0.003
10;5;5;0.056
11;5;5;0.068
12;9;9;0.078
13;4;4;0.056
14;1;1;0.141
15;1;1;0.003
16;1;1;0.003
17;7;7;0.068
18;1;1;0.004
19;3;3;0.067
20;6;6;0.072
21;8;8;0.063
22;4;4;0.091
23;1;1;0.003
24;1;1;0.002
25;1;1;0.002
26;5;5;0.066
27;1;1;0.004
28;1;1;0.003
29;9;9;0.09
30;6;6;0.094
31;1;1;0.002
32;1;1;0.005
33;6;6;0.09
34;4;4;0.087
35;1;1;0.003
36;1;1;0.003
37;1;1;0.002
38;1;1;0.002
39;7;7;0.076
40;1;1;0.002
41;1;1;0.005
42;1;1;0.123
43;1;1;0.002
44;1;1;0.11
45;1;1;0.002
46;7;7;0.065
47;6;6;0.081
48;1;1;0.001
49;1;1;0.001
50;1;1;0.002
51;1;1;0.002
52;3;3;0.099
53;8;8;0.05
54;1;1;0.003
55;3;3;0.063
56;7;7;0.061
57;7;7;0.075
58;1;1;0.002
59;1;1;0.002
60;1;1;0.002
61;1;1;0.002
62;1;1;0.002
63;4;4;0.072
64;1;1;0.002
65;1;1;0.001
66;1;1;0.001
67;7;7;0.072
68;1;1;0.002
69;1;1;0.002
70;6;6;0.088
71;7;7;0.06
72;1;1;0.002
73;1;1;0.002
74;6;6;0.086
75;6;6;0.084
76;1;1;0.002
77;7;7;0.069
78;1;1;0.002
79;1;1;0.105
80;6;6;0.073
81;6;6;0.064
82;6;6;0.085
83;4;4;0.071
84;8;8;0.071
85;6;6;0.087
86;5;5;0.057
87;4;4;0.081
88;1;1;0.001
89;1;1;0.001
90;1;1;0.001
91;1;1;0.002
92;5;5;0.08
93;1;1;0.002
94;8;8;0.073
95;6;6;0.08
96;6;6;0.058
97;5;5;0.052
98;1;1;0.001
99;1;1;0.002
