i;nbseat;nb_added;execution_time
0;9;9;0.865
1;10;10;0.653
2;11;11;0.748
3;12;12;0.813
4;11;11;1.05
5;9;9;0.81
6;10;10;0.733
7;12;12;0.748
8;12;12;0.677
9;10;10;0.695
10;9;9;0.706
11;14;14;0.687
12;13;13;0.81
13;11;11;0.654
14;12;12;0.638
15;9;9;0.613
16;8;8;0.644
17;10;10;0.802
18;8;8;0.795
19;9;9;0.751
20;11;11;0.683
21;12;12;0.812
22;12;12;0.637
23;11;11;0.677
24;10;10;0.715
25;11;11;0.74
26;10;10;0.701
27;12;12;0.669
28;11;11;0.622
29;11;11;0.702
30;11;11;0.682
31;9;9;0.62
32;11;11;0.638
33;12;12;0.764
34;12;12;0.706
35;11;11;0.78
36;10;10;0.63
37;13;13;0.633
38;13;13;0.688
39;9;9;0.732
40;12;12;0.641
41;11;11;0.688
42;12;12;0.842
43;11;11;0.601
44;13;13;0.777
45;12;12;0.776
46;12;12;0.654
47;11;11;0.651
48;11;11;0.647
49;13;13;0.665
50;12;12;0.693
51;12;12;0.686
52;12;12;0.62
53;12;12;0.709
54;12;12;0.644
55;13;13;0.681
56;11;11;0.702
57;12;12;0.684
58;13;13;0.861
59;6;6;0.71
60;12;12;0.682
61;12;12;0.67
62;12;12;0.684
63;11;11;0.697
64;10;10;0.7
65;10;10;0.738
66;12;12;0.68
67;13;13;0.755
68;12;12;0.72
69;11;11;0.634
70;10;10;0.844
71;10;10;0.667
72;10;10;0.79
73;11;11;0.773
74;11;11;0.748
75;12;12;0.613
76;11;11;0.713
77;13;13;0.674
78;11;11;0.727
79;11;11;0.719
80;11;11;0.715
81;12;12;0.777
82;11;11;0.686
83;14;14;0.719
84;11;11;0.687
85;11;11;0.664
86;10;10;0.68
87;12;12;0.812
88;11;11;0.898
89;13;13;0.818
90;12;12;0.649
91;13;13;0.681
92;11;11;0.706
93;12;12;0.74
94;13;13;0.658
95;11;11;0.65
96;11;11;0.821
97;12;12;0.656
98;12;12;0.711
99;11;11;0.829
