i;nbseat;nb_added;execution_time
0;12;12;0.099
1;13;13;0.102
2;13;13;0.103
3;12;12;0.102
4;11;11;0.092
5;13;13;0.102
6;12;12;0.101
7;14;14;0.11
8;11;11;0.083
9;12;12;0.103
10;12;12;0.091
11;12;12;0.091
12;14;14;0.112
13;12;12;0.091
14;12;12;0.102
15;13;13;0.101
16;9;9;0.081
17;13;13;0.093
18;13;13;0.102
19;13;13;0.11
20;12;12;0.102
21;12;12;0.088
22;10;10;0.1
23;12;12;0.1
24;11;11;0.101
25;14;14;0.124
26;13;13;0.112
27;13;13;0.101
28;13;13;0.121
29;14;14;0.107
30;12;12;0.1
31;11;11;0.1
32;13;13;0.106
33;11;11;0.091
34;11;11;0.099
35;11;11;0.093
36;13;13;0.11
37;12;12;0.091
38;14;14;0.114
39;13;13;0.109
40;12;12;0.101
41;12;12;0.1
42;14;14;0.1
43;12;12;0.101
44;14;14;0.112
45;13;13;0.092
46;14;14;0.112
47;13;13;0.112
48;12;12;0.102
49;12;12;0.102
50;11;11;0.091
51;12;12;0.102
52;13;13;0.102
53;12;12;0.102
54;12;12;0.102
55;13;13;0.099
56;13;13;0.104
57;12;12;0.109
58;12;12;0.094
59;12;12;0.091
60;14;14;0.112
61;13;13;0.101
62;12;12;0.092
63;15;15;0.114
64;11;11;0.092
65;12;12;0.1
66;11;11;0.093
67;13;13;0.112
68;13;13;0.112
69;14;14;0.112
70;12;12;0.101
71;14;14;0.11
72;10;10;0.072
73;12;12;0.1
74;12;12;0.102
75;13;13;0.111
76;14;14;0.112
77;12;12;0.092
78;12;12;0.101
79;12;12;0.11
80;13;13;0.104
81;13;13;0.095
82;12;12;0.1
83;11;11;0.101
84;13;13;0.1
85;14;14;0.116
86;11;11;0.1
87;12;12;0.1
88;14;14;0.101
89;12;12;0.1
90;11;11;0.1
91;13;13;0.101
92;11;11;0.1
93;11;11;0.085
94;10;10;0.097
95;12;12;0.101
96;13;13;0.102
97;11;11;0.092
98;12;12;0.101
99;14;14;0.102
