i;nbseat;nb_added;execution_time
0;3;3;0.187
1;1;1;0.182
2;7;7;0.111
3;3;3;0.071
4;8;8;0.086
5;1;1;0.019
6;1;1;0.002
7;1;1;0.003
8;1;1;0.001
9;1;1;0.002
10;6;6;0.119
11;7;7;0.069
12;4;4;0.066
13;1;1;0.002
14;1;1;0.003
15;1;1;0.003
16;1;1;0.001
17;1;1;0.002
18;1;1;0.154
19;1;1;0.002
20;1;1;0.003
21;1;1;0.003
22;4;4;0.081
23;1;1;0.004
24;3;3;0.098
25;1;1;0.002
26;4;4;0.116
27;1;1;0.002
28;1;1;0.002
29;1;1;0.002
30;1;1;0.002
31;1;1;0.004
32;1;1;0.004
33;1;1;0.003
34;1;1;0.004
35;1;1;0.004
36;5;5;0.103
37;1;1;0.001
38;5;5;0.067
39;1;1;0.001
40;1;1;0.001
41;7;7;0.093
42;1;1;0.003
43;1;1;0.002
44;1;1;0.002
45;6;6;0.055
46;1;1;0.139
47;1;1;0.002
48;1;1;0.002
49;1;1;0.129
50;1;1;0.002
51;3;3;0.094
52;1;1;0.002
53;4;4;0.089
54;1;1;0.002
55;1;1;0.002
56;1;1;0.003
57;4;4;0.06
58;5;5;0.087
59;1;1;0.002
60;1;1;0.002
61;1;1;0.002
62;1;1;0.002
63;1;1;0.002
64;1;1;0.002
65;1;1;0.003
66;1;1;0.002
67;1;1;0.002
68;1;1;0.001
69;1;1;0.119
70;1;1;0.001
71;1;1;0.002
72;7;7;0.066
73;8;8;0.064
74;4;4;0.101
75;6;6;0.079
76;5;5;0.06
77;4;4;0.09
78;1;1;0.001
79;5;5;0.062
80;1;1;0.099
81;5;5;0.055
82;6;6;0.083
83;1;1;0.097
84;6;6;0.066
85;5;5;0.09
86;7;7;0.093
87;1;1;0.002
88;6;6;0.065
89;2;2;0.077
90;1;1;0.002
91;6;6;0.092
92;6;6;0.093
93;1;1;0.002
94;1;1;0.002
95;1;1;0.098
96;3;3;0.053
97;1;1;0.002
98;8;8;0.089
99;4;4;0.069
