i;nbseat;nb_added;execution_time
0;20;20;0.815
1;21;21;0.776
2;19;19;0.78
3;20;20;0.755
4;18;18;0.761
5;20;20;0.764
6;22;22;0.813
7;18;18;0.834
8;15;15;0.807
9;17;17;0.865
10;19;19;0.851
11;17;17;0.807
12;15;15;0.824
13;18;18;0.813
14;14;14;0.843
15;21;21;0.815
16;20;20;0.823
17;17;17;0.845
18;18;18;0.825
19;17;17;0.833
20;16;16;0.824
21;19;19;0.843
22;23;23;0.835
23;18;18;0.815
24;16;16;0.822
25;16;16;0.826
26;18;18;0.791
27;18;18;0.803
28;20;20;0.806
29;20;20;0.843
30;16;16;0.814
31;16;16;0.823
32;16;16;0.852
33;21;21;0.835
34;19;19;0.844
35;14;14;0.799
36;21;21;0.849
37;18;18;0.828
38;19;19;0.841
39;18;18;0.839
40;21;21;0.849
41;18;18;0.818
42;18;18;0.828
43;19;19;0.824
44;21;21;0.83
45;19;19;0.81
46;19;19;0.832
47;18;18;0.841
48;19;19;0.835
49;18;18;0.837
50;17;17;0.852
51;20;20;0.84
52;19;19;0.812
53;18;18;0.846
54;18;18;0.81
55;19;19;0.842
56;20;20;0.845
57;20;20;0.848
58;20;20;0.837
59;19;19;0.842
60;16;16;0.834
61;21;21;0.876
62;18;18;0.817
63;19;19;0.833
64;20;20;0.856
65;18;18;0.846
66;17;17;0.85
67;18;18;0.854
68;19;19;0.833
69;16;16;0.824
70;21;21;0.833
71;17;17;0.982
72;18;18;0.809
73;21;21;0.835
74;17;17;0.841
75;17;17;0.825
76;20;20;0.869
77;22;22;0.829
78;19;19;0.844
79;20;20;0.817
80;16;16;0.849
81;20;20;0.831
82;21;21;0.837
83;18;18;0.814
84;19;19;0.858
85;23;23;0.841
86;17;17;0.842
87;19;19;0.833
88;21;21;0.834
89;12;12;0.866
90;23;23;0.836
91;23;23;0.851
92;21;21;0.821
93;17;17;0.821
94;18;18;0.84
95;22;22;0.837
96;19;19;0.833
97;18;18;0.824
98;16;16;0.822
99;15;15;0.808
