i;nbseat;nb_added;execution_time
0;21;21;0.955
1;21;21;0.759
2;17;17;1.011
3;21;21;0.772
4;19;19;0.873
5;21;21;0.752
6;17;17;0.961
7;23;23;0.856
8;21;21;0.848
9;21;21;0.83
10;22;22;0.741
11;25;25;0.921
12;21;21;0.773
13;20;20;1.01
14;19;19;0.806
15;19;19;0.881
16;18;18;0.731
17;18;18;0.759
18;19;19;0.832
19;17;17;0.772
20;19;19;0.781
21;19;19;0.904
22;18;18;0.71
23;21;21;0.867
24;22;22;0.702
25;22;22;0.835
26;14;14;0.982
27;22;22;0.912
28;20;20;0.772
29;15;15;0.794
30;18;18;0.901
31;20;20;0.828
32;19;19;0.775
33;21;21;0.801
34;22;22;0.797
35;22;22;0.805
36;20;20;0.893
37;18;18;0.846
38;19;19;0.73
39;22;22;0.865
40;22;22;0.797
41;17;17;0.8
42;16;16;0.972
43;19;19;0.908
44;22;22;0.798
45;18;18;0.734
46;18;18;0.862
47;15;15;0.838
48;19;19;0.869
49;18;18;0.737
50;23;23;0.745
51;20;20;0.772
52;21;21;0.977
53;18;18;0.871
54;21;21;0.786
55;18;18;0.972
56;21;21;0.817
57;19;19;0.842
58;19;19;0.927
59;20;20;0.826
60;16;16;0.872
61;21;21;0.728
62;22;22;0.894
63;22;22;0.82
64;19;19;0.795
65;20;20;0.785
66;21;21;0.731
67;19;19;0.871
68;21;21;0.873
69;21;21;0.84
70;19;19;0.789
71;14;14;0.889
72;17;17;2.025
73;22;22;1.095
74;22;22;0.808
75;19;19;0.979
76;19;19;1.008
77;19;19;0.921
78;25;25;0.76
79;21;21;0.844
80;20;20;0.714
81;20;20;0.797
82;21;21;0.839
83;19;19;0.852
84;20;20;0.782
85;21;21;0.787
86;19;19;0.744
87;20;20;0.784
88;21;21;0.848
89;21;21;0.797
90;19;19;0.748
91;18;18;1.013
92;19;19;0.74
93;20;20;0.863
94;21;21;0.871
95;17;17;0.962
96;17;17;0.873
97;23;23;0.767
98;20;20;0.974
99;17;17;0.907
