i;nbseat;nb_added;execution_time
0;21;21;0.795
1;22;22;0.927
2;21;21;0.9
3;16;16;0.967
4;17;17;0.925
5;18;18;0.838
6;14;14;0.812
7;22;22;0.727
8;24;24;0.971
9;22;22;0.839
10;19;19;0.92
11;20;20;0.874
12;21;21;0.8
13;18;18;0.794
14;20;20;0.856
15;19;19;0.795
16;16;16;0.759
17;19;19;0.748
18;20;20;0.843
19;19;19;0.86
20;18;18;0.886
21;17;17;0.882
22;20;20;0.767
23;22;22;0.784
24;21;21;0.847
25;21;21;0.891
26;21;21;0.778
27;19;19;0.801
28;19;19;0.854
29;18;18;0.906
30;21;21;0.778
31;18;18;0.823
32;21;21;0.754
33;22;22;0.812
34;20;20;0.749
35;19;19;0.849
36;16;16;0.846
37;19;19;0.92
38;19;19;0.914
39;19;19;0.803
40;18;18;0.804
41;21;21;0.847
42;23;23;0.815
43;16;16;0.876
44;17;17;0.906
45;22;22;0.782
46;21;21;0.85
47;19;19;0.759
48;21;21;0.788
49;20;20;0.885
50;21;21;0.764
51;20;20;0.756
52;19;19;0.823
53;20;20;0.745
54;21;21;0.784
55;21;21;0.772
56;23;23;0.707
57;22;22;0.838
58;22;22;0.796
59;21;21;0.722
60;20;20;0.759
61;20;20;0.76
62;19;19;0.817
63;19;19;0.819
64;18;18;0.973
65;19;19;0.805
66;20;20;0.911
67;18;18;0.83
68;21;21;0.986
69;19;19;0.886
70;19;19;1.031
71;21;21;0.754
72;21;21;0.757
73;19;19;0.878
74;23;23;1.002
75;20;20;0.866
76;17;17;0.874
77;21;21;0.795
78;21;21;0.742
79;20;20;0.744
80;21;21;0.865
81;17;17;0.722
82;19;19;0.903
83;19;19;0.886
84;21;21;0.718
85;20;20;0.787
86;19;19;0.818
87;23;23;0.84
88;21;21;0.88
89;17;17;0.782
90;22;22;0.813
91;21;21;0.804
92;19;19;0.879
93;21;21;0.75
94;21;21;0.731
95;20;20;0.802
96;20;20;0.754
97;22;22;0.811
98;20;20;0.826
99;19;19;0.803
