i;nbseat;nb_added;execution_time
0;8;8;0.571
1;9;9;0.655
2;9;9;0.665
3;9;9;0.608
4;7;7;0.657
5;9;9;0.669
6;10;10;0.656
7;8;8;0.765
8;8;8;0.646
9;9;9;0.745
10;7;7;0.737
11;8;8;0.633
12;7;7;0.676
13;9;9;0.931
14;10;10;0.592
15;10;10;0.763
16;9;9;0.622
17;11;11;0.531
18;10;10;0.637
19;10;10;0.679
20;10;10;0.586
21;9;9;0.62
22;8;8;0.594
23;9;9;0.674
24;8;8;0.624
25;10;10;0.578
26;8;8;0.689
27;8;8;0.645
28;9;9;0.651
29;9;9;0.639
30;10;10;0.633
31;9;9;0.639
32;10;10;0.592
33;8;8;0.682
34;10;10;0.892
35;8;8;0.657
36;10;10;0.643
37;8;8;0.72
38;7;7;0.59
39;9;9;0.6
40;10;10;0.61
41;9;9;0.616
42;9;9;0.689
43;9;9;0.648
44;9;9;0.716
45;9;9;0.597
46;9;9;0.621
47;9;9;0.72
48;7;7;0.626
49;9;9;0.684
50;8;8;0.578
51;9;9;0.588
52;8;8;0.608
53;9;9;0.691
54;10;10;0.581
55;7;7;0.749
56;9;9;0.56
57;9;9;0.636
58;10;10;0.663
59;8;8;0.788
60;8;8;0.67
61;8;8;0.691
62;7;7;0.673
63;9;9;0.671
64;9;9;0.562
65;7;7;0.789
66;9;9;0.72
67;6;6;0.682
68;8;8;0.652
69;9;9;0.695
70;7;7;0.661
71;11;11;0.711
72;8;8;0.753
73;9;9;0.693
74;9;9;0.716
75;9;9;0.818
76;9;9;0.617
77;9;9;0.621
78;9;9;0.677
79;10;10;0.623
80;9;9;0.624
81;8;8;0.606
82;9;9;0.652
83;10;10;0.606
84;8;8;0.674
85;7;7;0.632
86;9;9;0.599
87;9;9;0.67
88;8;8;0.592
89;8;8;0.793
90;8;8;0.611
91;8;8;0.668
92;8;8;0.656
93;9;9;0.647
94;10;10;0.571
95;7;7;0.655
96;9;9;0.673
97;8;8;0.686
98;9;9;0.582
99;8;8;0.699
