i;nbseat;nb_added;execution_time
0;7;7;0.683
1;9;9;0.71
2;9;9;0.65
3;7;7;0.58
4;9;9;0.672
5;8;8;0.556
6;9;9;0.673
7;7;7;0.631
8;8;8;0.6
9;9;9;0.683
10;10;10;0.621
11;8;8;0.64
12;9;9;0.628
13;8;8;0.631
14;9;9;0.683
15;9;9;0.64
16;9;9;0.834
17;9;9;0.577
18;8;8;0.723
19;8;8;0.694
20;9;9;0.691
21;10;10;0.682
22;8;8;0.62
23;9;9;0.57
24;9;9;0.745
25;10;10;0.681
26;10;10;0.61
27;8;8;0.57
28;10;10;0.65
29;7;7;0.542
30;8;8;0.659
31;8;8;0.656
32;9;9;0.721
33;7;7;0.648
34;8;8;0.653
35;10;10;0.659
36;10;10;0.691
37;9;9;0.632
38;9;9;0.612
39;9;9;0.76
40;9;9;0.66
41;10;10;0.613
42;10;10;0.64
43;10;10;0.743
44;9;9;0.64
45;9;9;0.528
46;8;8;0.643
47;10;10;0.603
48;8;8;0.7
49;9;9;0.633
50;8;8;0.652
51;9;9;0.709
52;9;9;0.724
53;9;9;0.657
54;8;8;0.787
55;10;10;0.672
56;9;9;0.682
57;7;7;0.672
58;9;9;0.598
59;9;9;0.57
60;7;7;0.764
61;8;8;0.605
62;11;11;0.602
63;9;9;0.751
64;9;9;0.6
65;9;9;0.722
66;8;8;0.609
67;9;9;0.66
68;10;10;0.722
69;10;10;0.581
70;8;8;0.823
71;9;9;0.744
72;10;10;0.701
73;9;9;0.609
74;9;9;0.741
75;8;8;0.617
76;9;9;0.602
77;9;9;0.703
78;9;9;0.641
79;8;8;0.672
80;10;10;0.784
81;10;10;0.64
82;9;9;0.55
83;9;9;0.589
84;8;8;0.62
85;9;9;0.803
86;10;10;0.681
87;8;8;0.581
88;8;8;0.651
89;9;9;0.693
90;7;7;0.679
91;9;9;0.632
92;6;6;0.631
93;9;9;0.691
94;9;9;0.651
95;7;7;0.709
96;8;8;0.63
97;8;8;0.806
98;10;10;0.661
99;8;8;0.631
