i;nbseat;nb_added;execution_time
0;1;1;0.001
1;1;1;0.002
2;1;1;0.001
3;1;1;0.001
4;1;1;0.002
5;1;1;0.001
6;1;1;0.001
7;1;1;0.001
8;1;1;0.001
9;1;1;0.002
10;1;1;0.001
11;1;1;0.002
12;1;1;0.002
13;1;1;0.001
14;1;1;0.001
15;1;1;0.001
16;1;1;0.002
17;1;1;0.001
18;1;1;0.001
19;1;1;0.002
20;1;1;0.002
21;1;1;0.002
22;1;1;0.002
23;1;1;0.001
24;1;1;0.001
25;1;1;0.001
26;1;1;0.001
27;1;1;0.001
28;1;1;0.001
29;1;1;0.001
30;1;1;0.002
31;1;1;0.001
32;1;1;0.001
33;1;1;0.001
34;1;1;0.001
35;1;1;0.001
36;1;1;0.002
37;1;1;0.001
38;1;1;0.001
39;1;1;0.002
40;1;1;0.0
41;1;1;0.0
42;1;1;0.0
43;1;1;0.002
44;1;1;0.001
45;1;1;0.002
46;1;1;0.003
47;1;1;0.001
48;1;1;0.001
49;1;1;0.001
50;1;1;0.001
51;1;1;0.001
52;1;1;0.001
53;1;1;0.001
54;1;1;0.002
55;1;1;0.001
56;1;1;0.002
57;1;1;0.001
58;1;1;0.001
59;1;1;0.001
60;1;1;0.001
61;1;1;0.002
62;1;1;0.001
63;1;1;0.001
64;1;1;0.001
65;1;1;0.001
66;1;1;0.001
67;1;1;0.001
68;1;1;0.002
69;1;1;0.001
70;1;1;0.001
71;1;1;0.002
72;1;1;0.001
73;1;1;0.001
74;1;1;0.001
75;1;1;0.001
76;1;1;0.002
77;1;1;0.001
78;1;1;0.001
79;1;1;0.002
80;1;1;0.001
81;1;1;0.001
82;1;1;0.001
83;1;1;0.001
84;1;1;0.002
85;1;1;0.002
86;1;1;0.001
87;1;1;0.001
88;1;1;0.001
89;1;1;0.001
90;1;1;0.001
91;1;1;0.001
92;1;1;0.001
93;1;1;0.0
94;1;1;0.001
95;1;1;0.001
96;1;1;0.001
97;1;1;0.001
98;1;1;0.002
99;1;1;0.001
