i;nbseat;nb_added;execution_time
0;9;9;0.62
1;10;10;0.737
2;12;12;0.718
3;11;11;0.661
4;12;12;0.638
5;10;10;0.678
6;9;9;0.587
7;9;9;0.665
8;9;9;0.71
9;8;8;0.785
10;10;10;0.72
11;9;9;0.695
12;10;10;0.781
13;10;10;0.823
14;11;11;0.672
15;8;8;0.652
16;12;12;0.802
17;10;10;0.744
18;11;11;0.691
19;10;10;0.629
20;11;11;0.73
21;10;10;0.705
22;11;11;0.691
23;10;10;0.703
24;9;9;0.642
25;9;9;0.681
26;10;10;0.621
27;12;12;0.75
28;10;10;0.702
29;10;10;0.766
30;10;10;0.732
31;10;10;0.599
32;9;9;0.646
33;9;9;0.715
34;10;10;0.6
35;9;9;0.596
36;10;10;0.632
37;12;12;0.613
38;11;11;0.664
39;12;12;0.708
40;10;10;0.641
41;11;11;0.723
42;9;9;0.696
43;11;11;0.671
44;10;10;0.693
45;11;11;0.646
46;9;9;0.797
47;9;9;0.646
48;11;11;0.718
49;9;9;0.717
50;12;12;0.688
51;10;10;0.752
52;9;9;0.633
53;12;12;0.605
54;12;12;0.661
55;10;10;0.707
56;9;9;0.629
57;10;10;0.661
58;11;11;0.946
59;11;11;0.7
60;9;9;0.649
61;10;10;0.629
62;11;11;0.729
63;10;10;0.672
64;10;10;0.732
65;10;10;0.605
66;8;8;0.65
67;10;10;0.67
68;11;11;0.612
69;10;10;0.644
70;9;9;0.77
71;10;10;0.64
72;9;9;0.703
73;9;9;0.664
74;9;9;0.802
75;11;11;0.68
76;9;9;0.749
77;11;11;0.612
78;9;9;0.722
79;10;10;0.62
80;8;8;0.731
81;10;10;0.712
82;9;9;0.703
83;8;8;0.661
84;12;12;0.665
85;11;11;0.655
86;10;10;0.653
87;10;10;0.773
88;11;11;0.631
89;12;12;0.652
90;9;9;0.682
91;11;11;0.733
92;8;8;0.822
93;8;8;0.835
94;11;11;0.71
95;8;8;0.64
96;10;10;0.679
97;10;10;0.71
98;11;11;0.655
99;10;10;0.618
