i;nbseat;nb_added;execution_time
0;2;2;0.042
1;1;1;0.001
2;1;1;0.001
3;1;1;0.0
4;2;2;0.051
5;2;2;0.049
6;2;2;0.049
7;1;1;0.002
8;2;2;0.039
9;1;1;0.001
10;1;1;0.001
11;1;1;0.001
12;2;2;0.038
13;1;1;0.001
14;1;1;0.001
15;1;1;0.002
16;1;1;0.001
17;1;1;0.001
18;1;1;0.001
19;1;1;0.001
20;1;1;0.002
21;2;2;0.038
22;2;2;0.042
23;2;2;0.041
24;1;1;0.001
25;1;1;0.001
26;2;2;0.04
27;1;1;0.002
28;1;1;0.002
29;1;1;0.001
30;1;1;0.001
31;2;2;0.039
32;1;1;0.001
33;2;2;0.042
34;1;1;0.002
35;2;2;0.049
36;1;1;0.001
37;2;2;0.051
38;2;2;0.051
39;2;2;0.036
40;1;1;0.001
41;1;1;0.001
42;1;1;0.001
43;1;1;0.001
44;1;1;0.001
45;1;1;0.0
46;1;1;0.002
47;1;1;0.001
48;2;2;0.052
49;1;1;0.001
50;1;1;0.002
51;2;2;0.052
52;1;1;0.001
53;2;2;0.048
54;1;1;0.001
55;1;1;0.001
56;2;2;0.037
57;1;1;0.001
58;1;1;0.001
59;1;1;0.001
60;2;2;0.049
61;2;2;0.039
62;1;1;0.002
63;1;1;0.001
64;2;2;0.036
65;2;2;0.038
66;2;2;0.037
67;1;1;0.0
68;1;1;0.0
69;1;1;0.001
70;1;1;0.001
71;1;1;0.001
72;1;1;0.001
73;1;1;0.001
74;1;1;0.001
75;2;2;0.037
76;1;1;0.001
77;2;2;0.039
78;1;1;0.002
79;2;2;0.048
80;2;2;0.039
81;1;1;0.001
82;1;1;0.001
83;1;1;0.001
84;1;1;0.002
85;2;2;0.049
86;2;2;0.046
87;1;1;0.002
88;1;1;0.001
89;1;1;0.001
90;1;1;0.001
91;2;2;0.048
92;1;1;0.001
93;2;2;0.037
94;1;1;0.001
95;2;2;0.048
96;2;2;0.038
97;2;2;0.039
98;2;2;0.053
99;1;1;0.001
