i;nbseat;nb_added;execution_time
0;17;17;0.132
1;18;18;0.153
2;19;19;0.143
3;16;16;0.132
4;15;15;0.13
5;16;16;0.133
6;18;18;0.145
7;17;17;0.14
8;17;17;0.142
9;19;19;0.165
10;17;17;0.142
11;16;16;0.132
12;20;20;0.17
13;16;16;0.141
14;18;18;0.145
15;18;18;0.142
16;18;18;0.152
17;15;15;0.13
18;16;16;0.124
19;19;19;0.153
20;16;16;0.143
21;17;17;0.142
22;18;18;0.153
23;19;19;0.152
24;18;18;0.153
25;19;19;0.152
26;15;15;0.13
27;17;17;0.141
28;15;15;0.132
29;17;17;0.147
30;17;17;0.136
31;16;16;0.142
32;17;17;0.142
33;16;16;0.132
34;15;15;0.133
35;18;18;0.141
36;18;18;0.147
37;16;16;0.138
38;20;20;0.147
39;18;18;0.138
40;18;18;0.147
41;15;15;0.132
42;16;16;0.138
43;18;18;0.147
44;14;14;0.132
45;18;18;0.153
46;16;16;0.132
47;16;16;0.126
48;15;15;0.141
49;20;20;0.154
50;18;18;0.143
51;17;17;0.162
52;16;16;0.132
53;16;16;0.132
54;16;16;0.143
55;15;15;0.122
56;16;16;0.133
57;14;14;0.122
58;12;12;0.11
59;17;17;0.134
60;17;17;0.14
61;19;19;0.155
62;14;14;0.111
63;19;19;0.163
64;16;16;0.132
65;16;16;0.14
66;17;17;0.128
67;20;20;0.162
68;16;16;0.139
69;17;17;0.147
70;16;16;0.14
71;14;14;0.12
72;15;15;0.132
73;16;16;0.133
74;18;18;0.149
75;19;19;0.148
76;20;20;0.158
77;17;17;0.151
78;19;19;0.159
79;15;15;0.125
80;17;17;0.141
81;17;17;0.145
82;18;18;0.143
83;16;16;0.134
84;16;16;0.138
85;14;14;0.125
86;15;15;0.132
87;17;17;0.14
88;16;16;0.133
89;18;18;0.148
90;15;15;0.129
91;16;16;0.136
92;17;17;0.144
93;20;20;0.151
94;14;14;0.121
95;20;20;0.153
96;17;17;0.14
97;18;18;0.153
98;15;15;0.132
99;16;16;0.136
