i;nbseat;nb_added;execution_time
0;18;18;0.772
1;20;20;0.854
2;16;16;0.877
3;20;20;0.741
4;19;19;0.877
5;19;19;0.869
6;19;19;0.891
7;19;19;0.809
8;19;19;0.769
9;18;18;0.841
10;20;20;0.799
11;19;19;0.799
12;17;17;0.741
13;21;21;0.864
14;20;20;0.691
15;18;18;0.93
16;20;20;0.76
17;15;15;0.793
18;19;19;0.719
19;17;17;0.746
20;18;18;1.006
21;19;19;0.741
22;20;20;0.752
23;16;16;0.731
24;18;18;0.868
25;18;18;0.794
26;18;18;0.841
27;22;22;0.735
28;17;17;0.693
29;17;17;0.864
30;18;18;0.741
31;22;22;0.751
32;21;21;0.966
33;17;17;0.901
34;17;17;0.735
35;16;16;0.896
36;20;20;0.738
37;20;20;0.848
38;16;16;0.85
39;17;17;0.756
40;17;17;0.704
41;21;21;0.705
42;17;17;0.871
43;16;16;0.743
44;17;17;0.782
45;18;18;0.848
46;21;21;0.681
47;20;20;0.852
48;18;18;0.761
49;20;20;0.856
50;17;17;0.81
51;21;21;0.872
52;14;14;0.85
53;18;18;0.746
54;20;20;0.887
55;17;17;0.78
56;16;16;0.873
57;14;14;0.737
58;21;21;0.804
59;16;16;0.822
60;14;14;0.837
61;15;15;0.987
62;17;17;0.857
63;19;19;0.771
64;21;21;0.792
65;19;19;0.847
66;19;19;0.75
67;20;20;0.797
68;21;21;0.775
69;16;16;0.729
70;19;19;0.775
71;15;15;0.82
72;17;17;0.857
73;17;17;0.807
74;21;21;0.731
75;20;20;0.769
76;23;23;0.798
77;17;17;0.813
78;19;19;0.753
79;16;16;0.799
80;18;18;0.838
81;17;17;0.819
82;21;21;0.763
83;16;16;0.795
84;20;20;0.797
85;17;17;0.724
86;19;19;0.795
87;18;18;0.871
88;17;17;0.84
89;17;17;0.88
90;19;19;0.96
91;19;19;0.924
92;18;18;0.83
93;20;20;0.751
94;18;18;0.953
95;17;17;0.793
96;15;15;0.773
97;20;20;0.776
98;19;19;0.823
99;16;16;0.808
