i;nbseat;nb_added;execution_time
0;10;10;0.775
1;9;9;0.899
2;11;11;1.358
3;15;15;0.757
4;14;14;0.731
5;13;13;0.738
6;14;14;0.769
7;15;15;0.732
8;10;10;0.727
9;14;14;0.743
10;15;15;0.725
11;11;11;0.693
12;10;10;0.717
13;11;11;0.718
14;14;14;0.719
15;14;14;0.713
16;14;14;0.749
17;16;16;0.723
18;15;15;0.699
19;13;13;0.723
20;14;14;0.711
21;12;12;0.732
22;16;16;0.73
23;12;12;0.703
24;13;13;0.732
25;16;16;0.692
26;14;14;0.731
27;12;12;0.718
28;15;15;0.733
29;13;13;0.687
30;17;17;0.743
31;10;10;0.73
32;14;14;0.701
33;11;11;0.735
34;14;14;0.733
35;17;17;0.731
36;17;17;0.732
37;16;16;0.743
38;13;13;0.712
39;14;14;0.712
40;15;15;0.73
41;12;12;0.733
42;13;13;0.722
43;14;14;0.702
44;15;15;0.731
45;12;12;0.726
46;15;15;0.747
47;13;13;0.714
48;12;12;0.671
49;14;14;0.711
50;8;8;0.7
51;15;15;0.735
52;12;12;0.694
53;14;14;0.72
54;14;14;0.729
55;12;12;0.743
56;12;12;0.73
57;14;14;0.73
58;15;15;0.72
59;15;15;0.713
60;13;13;0.691
61;13;13;0.719
62;13;13;0.723
63;14;14;0.723
64;12;12;0.673
65;15;15;0.702
66;12;12;0.722
67;13;13;0.719
68;14;14;0.722
69;13;13;0.722
70;14;14;0.754
71;15;15;0.74
72;14;14;0.734
73;14;14;0.753
74;11;11;0.732
75;15;15;0.691
76;13;13;0.713
77;14;14;0.733
78;10;10;0.742
79;12;12;0.721
80;18;18;0.718
81;11;11;0.749
82;13;13;0.717
83;13;13;0.723
84;16;16;0.735
85;13;13;0.71
86;12;12;0.723
87;9;9;0.682
88;11;11;0.733
89;13;13;0.733
90;10;10;0.754
91;12;12;0.69
92;13;13;0.711
93;13;13;0.734
94;14;14;0.729
95;13;13;0.722
96;10;10;0.703
97;14;14;0.68
98;15;15;0.693
99;11;11;0.712
