i;nbseat;nb_added;execution_time
0;1;1;0.042
1;1;1;0.009
2;1;1;0.007
3;1;1;0.004
4;1;1;0.003
5;1;1;0.004
6;1;1;0.002
7;1;1;0.003
8;1;1;0.002
9;1;1;0.003
10;1;1;0.003
11;1;1;0.001
12;1;1;0.001
13;1;1;0.002
14;1;1;0.002
15;1;1;0.002
16;1;1;0.002
17;1;1;0.002
18;1;1;0.003
19;1;1;0.002
20;1;1;0.003
21;1;1;0.161
22;1;1;0.003
23;1;1;0.002
24;1;1;0.003
25;1;1;0.005
26;1;1;0.002
27;1;1;0.002
28;1;1;0.004
29;1;1;0.005
30;1;1;0.003
31;1;1;0.003
32;1;1;0.003
33;1;1;0.004
34;1;1;0.003
35;1;1;0.003
36;1;1;0.002
37;1;1;0.003
38;1;1;0.003
39;1;1;0.179
40;1;1;0.002
41;1;1;0.002
42;1;1;0.002
43;1;1;0.002
44;1;1;0.002
45;1;1;0.003
46;1;1;0.003
47;1;1;0.002
48;1;1;0.002
49;1;1;0.002
50;1;1;0.003
51;1;1;0.002
52;1;1;0.002
53;1;1;0.002
54;1;1;0.002
55;1;1;0.002
56;1;1;0.002
57;1;1;0.002
58;1;1;0.002
59;1;1;0.003
60;1;1;0.004
61;1;1;0.003
62;1;1;0.002
63;1;1;0.003
64;1;1;0.002
65;1;1;0.003
66;1;1;0.002
67;1;1;0.003
68;1;1;0.001
69;1;1;0.002
70;1;1;0.003
71;1;1;0.003
72;1;1;0.003
73;1;1;0.002
74;1;1;0.002
75;1;1;0.002
76;1;1;0.003
77;1;1;0.002
78;1;1;0.002
79;1;1;0.003
80;1;1;0.003
81;1;1;0.003
82;1;1;0.005
83;1;1;0.002
84;1;1;0.003
85;1;1;0.004
86;1;1;0.003
87;1;1;0.15
88;1;1;0.003
89;1;1;0.003
90;1;1;0.003
91;1;1;0.003
92;1;1;0.003
93;1;1;0.139
94;1;1;0.003
95;1;1;0.003
96;1;1;0.003
97;1;1;0.003
98;1;1;0.002
99;1;1;0.001
