i;nbseat;nb_added;execution_time
0;8;8;0.636
1;7;7;0.617
2;6;6;0.671
3;10;10;0.626
4;8;8;0.616
5;8;8;0.629
6;7;7;0.62
7;8;8;0.631
8;9;9;0.618
9;11;11;0.643
10;7;7;0.587
11;9;9;0.634
12;6;6;0.639
13;7;7;0.664
14;8;8;0.612
15;6;6;0.642
16;9;9;0.633
17;10;10;0.645
18;7;7;0.61
19;9;9;0.618
20;10;10;0.598
21;10;10;0.633
22;8;8;0.605
23;9;9;0.608
24;9;9;0.629
25;9;9;0.613
26;9;9;0.615
27;11;11;0.624
28;8;8;0.624
29;6;6;0.644
30;11;11;0.636
31;8;8;0.631
32;11;11;0.627
33;10;10;0.614
34;8;8;0.648
35;11;11;0.629
36;6;6;0.649
37;10;10;0.647
38;9;9;0.605
39;9;9;0.619
40;9;9;0.618
41;5;5;0.609
42;4;4;0.63
43;9;9;0.619
44;8;8;0.56
45;11;11;0.619
46;11;11;0.651
47;8;8;0.631
48;7;7;0.59
49;7;7;0.618
50;10;10;0.655
51;6;6;0.618
52;9;9;0.599
53;10;10;0.641
54;9;9;0.638
55;7;7;0.635
56;6;6;0.621
57;9;9;0.62
58;9;9;0.631
59;9;9;0.61
60;8;8;0.632
61;6;6;0.617
62;7;7;0.609
63;7;7;0.602
64;7;7;0.639
65;11;11;0.628
66;7;7;0.606
67;7;7;0.619
68;8;8;0.598
69;7;7;0.634
70;8;8;0.637
71;9;9;0.605
72;9;9;0.62
73;8;8;0.584
74;7;7;0.626
75;10;10;0.611
76;9;9;0.603
77;9;9;0.639
78;8;8;0.63
79;5;5;0.631
80;6;6;0.617
81;7;7;0.626
82;10;10;0.573
83;8;8;0.601
84;8;8;0.647
85;10;10;0.605
86;11;11;0.6
87;7;7;0.579
88;8;8;0.616
89;9;9;0.635
90;8;8;0.603
91;8;8;0.585
92;9;9;0.618
93;7;7;0.615
94;10;10;0.618
95;9;9;0.596
96;6;6;0.594
97;9;9;0.594
98;7;7;0.647
99;6;6;0.659
