i;nbseat;nb_added;execution_time
0;1;1;0.038
1;1;1;0.006
2;1;1;0.007
3;1;1;0.162
4;1;1;0.169
5;1;1;0.003
6;1;1;0.003
7;1;1;0.003
8;1;1;0.003
9;1;1;0.003
10;1;1;0.002
11;1;1;0.003
12;1;1;0.002
13;1;1;0.003
14;1;1;0.003
15;1;1;0.002
16;1;1;0.022
17;1;1;0.003
18;1;1;0.002
19;1;1;0.153
20;1;1;0.003
21;1;1;0.003
22;1;1;0.002
23;1;1;0.002
24;1;1;0.002
25;1;1;0.003
26;1;1;0.001
27;1;1;0.002
28;1;1;0.004
29;1;1;0.002
30;1;1;0.157
31;1;1;0.002
32;1;1;0.003
33;1;1;0.003
34;1;1;0.286
35;1;1;0.002
36;1;1;0.159
37;1;1;0.004
38;1;1;0.004
39;1;1;0.003
40;1;1;0.002
41;1;1;0.002
42;1;1;0.003
43;1;1;0.002
44;1;1;0.004
45;1;1;0.003
46;1;1;0.003
47;1;1;0.01
48;1;1;0.005
49;1;1;0.001
50;1;1;0.003
51;1;1;0.004
52;1;1;0.004
53;1;1;0.003
54;1;1;0.003
55;1;1;0.001
56;1;1;0.005
57;1;1;0.004
58;1;1;0.002
59;1;1;0.002
60;1;1;0.002
61;1;1;0.012
62;1;1;0.001
63;1;1;0.003
64;1;1;0.002
65;1;1;0.003
66;1;1;0.003
67;1;1;0.002
68;1;1;0.002
69;1;1;0.003
70;1;1;0.003
71;1;1;0.163
72;1;1;0.002
73;1;1;0.002
74;1;1;0.002
75;1;1;0.002
76;1;1;0.002
77;1;1;0.001
78;1;1;0.001
79;1;1;0.002
80;1;1;0.237
81;1;1;0.002
82;1;1;0.142
83;1;1;0.003
84;1;1;0.009
85;1;1;0.001
86;1;1;0.002
87;1;1;0.009
88;1;1;0.002
89;1;1;0.005
90;1;1;0.003
91;1;1;0.005
92;1;1;0.002
93;1;1;0.137
94;1;1;0.001
95;1;1;0.001
96;1;1;0.001
97;1;1;0.002
98;1;1;0.002
99;1;1;0.002
