i;nbseat;nb_added;execution_time
0;8;8;0.667
1;5;5;0.625
2;10;10;0.657
3;12;12;0.642
4;11;11;0.655
5;10;10;0.632
6;8;8;0.64
7;10;10;0.659
8;8;8;0.648
9;10;10;0.657
10;11;11;0.667
11;9;9;0.666
12;10;10;0.652
13;7;7;0.633
14;11;11;0.667
15;9;9;0.632
16;8;8;0.657
17;12;12;0.652
18;10;10;0.692
19;11;11;0.641
20;8;8;0.646
21;11;11;0.648
22;7;7;0.653
23;12;12;0.651
24;10;10;0.638
25;8;8;0.647
26;9;9;0.66
27;12;12;0.629
28;8;8;0.662
29;9;9;0.658
30;8;8;0.671
31;7;7;0.658
32;8;8;0.633
33;8;8;0.642
34;10;10;0.64
35;10;10;0.671
36;9;9;0.62
37;8;8;0.652
38;11;11;0.617
39;11;11;0.697
40;11;11;0.638
41;11;11;0.669
42;13;13;0.613
43;12;12;0.662
44;10;10;0.652
45;12;12;0.679
46;9;9;0.641
47;9;9;0.63
48;11;11;0.679
49;10;10;0.653
50;9;9;0.643
51;8;8;0.613
52;8;8;0.661
53;7;7;0.639
54;7;7;0.613
55;9;9;0.622
56;11;11;0.626
57;11;11;0.631
58;10;10;0.629
59;11;11;0.662
60;13;13;0.628
61;11;11;0.613
62;12;12;0.62
63;11;11;0.631
64;7;7;0.661
65;10;10;0.65
66;10;10;0.662
67;9;9;0.64
68;10;10;0.638
69;11;11;0.652
70;7;7;0.633
71;7;7;0.681
72;8;8;0.649
73;7;7;0.61
74;7;7;0.631
75;14;14;0.616
76;8;8;0.654
77;11;11;0.6
78;9;9;0.651
79;7;7;0.641
80;9;9;0.63
81;11;11;0.638
82;11;11;0.633
83;9;9;0.631
84;11;11;0.642
85;9;9;0.631
86;12;12;0.638
87;9;9;0.661
88;12;12;0.664
89;12;12;0.671
90;8;8;0.66
91;8;8;0.639
92;12;12;0.651
93;10;10;0.6
94;10;10;0.632
95;6;6;0.65
96;12;12;0.66
97;8;8;0.614
98;10;10;0.63
99;11;11;0.668
