i;nbseat;nb_added;execution_time
0;23;23;0.201
1;24;24;0.205
2;26;26;0.204
3;19;19;0.155
4;24;24;0.231
5;26;26;0.211
6;25;25;0.206
7;26;26;0.212
8;25;25;0.202
9;23;23;0.183
10;27;27;0.215
11;25;25;0.203
12;23;23;0.194
13;24;24;0.193
14;22;22;0.173
15;25;25;0.203
16;22;22;0.184
17;23;23;0.193
18;23;23;0.191
19;23;23;0.185
20;25;25;0.211
21;24;24;0.204
22;21;21;0.163
23;25;25;0.211
24;21;21;0.183
25;23;23;0.193
26;23;23;0.193
27;22;22;0.183
28;25;25;0.194
29;24;24;0.211
30;25;25;0.196
31;24;24;0.203
32;25;25;0.212
33;24;24;0.199
34;24;24;0.2
35;23;23;0.201
36;26;26;0.216
37;26;26;0.2
38;25;25;0.208
39;20;20;0.181
40;25;25;0.206
41;23;23;0.194
42;24;24;0.193
43;23;23;0.204
44;22;22;0.183
45;23;23;0.183
46;24;24;0.193
47;25;25;0.203
48;23;23;0.184
49;25;25;0.213
50;25;25;0.203
51;24;24;0.202
52;22;22;0.183
53;26;26;0.214
54;23;23;0.183
55;24;24;0.204
56;24;24;0.193
57;25;25;0.194
58;24;24;0.204
59;22;22;0.183
60;23;23;0.203
61;23;23;0.204
62;21;21;0.183
63;19;19;0.164
64;20;20;0.183
65;25;25;0.217
66;23;23;0.2
67;24;24;0.201
68;23;23;0.185
69;24;24;0.201
70;24;24;0.2
71;23;23;0.185
72;23;23;0.202
73;24;24;0.195
74;25;25;0.213
75;24;24;0.204
76;25;25;0.211
77;24;24;0.186
78;25;25;0.203
79;25;25;0.223
80;21;21;0.173
81;25;25;0.203
82;25;25;0.204
83;25;25;0.193
84;26;26;0.213
85;24;24;0.213
86;23;23;0.191
87;25;25;0.201
88;24;24;0.2
89;25;25;0.216
90;21;21;0.185
91;23;23;0.185
92;25;25;0.217
93;23;23;0.185
94;25;25;0.216
95;27;27;0.216
96;25;25;0.201
97;24;24;0.228
98;21;21;0.174
99;24;24;0.201
