i;nbseat;nb_added;execution_time
0;1;1;0.057
1;1;1;0.009
2;1;1;0.237
3;1;1;0.216
4;1;1;0.008
5;1;1;0.004
6;1;1;0.003
7;1;1;0.003
8;1;1;0.006
9;1;1;0.005
10;1;1;0.002
11;1;1;0.003
12;1;1;0.003
13;1;1;0.002
14;1;1;0.002
15;1;1;0.003
16;1;1;0.01
17;1;1;0.003
18;1;1;0.002
19;1;1;0.002
20;1;1;0.18
21;1;1;0.003
22;1;1;0.003
23;1;1;0.003
24;1;1;0.003
25;1;1;0.003
26;1;1;0.003
27;1;1;0.002
28;1;1;0.002
29;1;1;0.002
30;1;1;0.003
31;1;1;0.002
32;1;1;0.003
33;1;1;0.167
34;1;1;0.003
35;1;1;0.002
36;1;1;0.002
37;1;1;0.002
38;1;1;0.003
39;1;1;0.004
40;1;1;0.002
41;1;1;0.009
42;1;1;0.005
43;1;1;0.003
44;1;1;0.198
45;1;1;0.003
46;1;1;0.003
47;1;1;0.005
48;1;1;0.002
49;1;1;0.003
50;1;1;0.004
51;1;1;0.002
52;1;1;0.003
53;1;1;0.003
54;1;1;0.003
55;1;1;0.003
56;1;1;0.178
57;1;1;0.002
58;1;1;0.002
59;1;1;0.003
60;1;1;0.003
61;1;1;0.367
62;1;1;0.003
63;1;1;0.007
64;1;1;0.001
65;1;1;0.002
66;1;1;0.012
67;1;1;0.003
68;1;1;0.006
69;1;1;0.008
70;1;1;0.022
71;1;1;0.033
72;1;1;0.002
73;1;1;0.001
74;1;1;0.003
75;1;1;0.003
76;1;1;0.002
77;1;1;0.002
78;1;1;0.002
79;1;1;0.002
80;1;1;0.003
81;1;1;0.002
82;1;1;0.002
83;1;1;0.002
84;1;1;0.002
85;1;1;0.002
86;1;1;0.003
87;1;1;0.391
88;1;1;0.004
89;1;1;0.003
90;1;1;0.003
91;1;1;0.002
92;1;1;0.191
93;1;1;0.019
94;1;1;0.017
95;1;1;0.01
96;1;1;0.004
97;1;1;0.002
98;1;1;0.004
99;1;1;0.002
