i;nbseat;nb_added;execution_time
0;10;10;0.08
1;9;9;0.089
2;10;10;0.081
3;9;9;0.082
4;10;10;0.083
5;11;11;0.091
6;10;10;0.082
7;11;11;0.091
8;10;10;0.091
9;10;10;0.082
10;12;12;0.102
11;11;11;0.081
12;10;10;0.081
13;10;10;0.081
14;10;10;0.081
15;11;11;0.102
16;10;10;0.081
17;11;11;0.092
18;13;13;0.091
19;11;11;0.091
20;10;10;0.091
21;10;10;0.092
22;10;10;0.079
23;11;11;0.083
24;11;11;0.092
25;11;11;0.091
26;12;12;0.091
27;10;10;0.092
28;12;12;0.091
29;10;10;0.089
30;10;10;0.084
31;10;10;0.082
32;12;12;0.091
33;12;12;0.102
34;10;10;0.082
35;9;9;0.081
36;12;12;0.09
37;11;11;0.093
38;11;11;0.091
39;10;10;0.09
40;12;12;0.084
41;12;12;0.101
42;10;10;0.09
43;12;12;0.091
44;11;11;0.084
45;10;10;0.092
46;10;10;0.081
47;11;11;0.092
48;11;11;0.092
49;9;9;0.081
50;9;9;0.079
51;10;10;0.094
52;11;11;0.085
53;10;10;0.084
54;12;12;0.085
55;11;11;0.085
56;12;12;0.1
57;10;10;0.085
58;12;12;0.084
59;13;13;0.113
60;12;12;0.092
61;12;12;0.101
62;9;9;0.08
63;10;10;0.083
64;11;11;0.093
65;11;11;0.092
66;10;10;0.091
67;9;9;0.081
68;9;9;0.08
69;10;10;0.083
70;12;12;0.091
71;11;11;0.102
72;11;11;0.1
73;12;12;0.093
74;12;12;0.092
75;11;11;0.092
76;11;11;0.09
77;10;10;0.079
78;11;11;0.082
79;12;12;0.099
80;12;12;0.083
81;12;12;0.103
82;11;11;0.091
83;12;12;0.101
84;12;12;0.092
85;11;11;0.092
86;11;11;0.092
87;11;11;0.091
88;9;9;0.072
89;11;11;0.091
90;11;11;0.102
91;11;11;0.09
92;11;11;0.083
93;12;12;0.102
94;11;11;0.091
95;10;10;0.091
96;12;12;0.1
97;11;11;0.094
98;11;11;0.091
99;11;11;0.092
