i;nbseat;nb_added;execution_time
0;17;17;0.793
1;20;20;0.803
2;16;16;0.842
3;15;15;0.731
4;20;20;0.737
5;16;16;0.723
6;17;17;0.844
7;21;21;0.742
8;21;21;0.772
9;18;18;0.834
10;19;19;0.924
11;18;18;0.714
12;17;17;0.754
13;16;16;0.896
14;17;17;0.975
15;15;15;0.784
16;17;17;0.784
17;17;17;0.765
18;18;18;0.753
19;20;20;0.865
20;18;18;0.784
21;19;19;0.946
22;15;15;0.856
23;16;16;0.844
24;19;19;0.743
25;20;20;0.773
26;18;18;0.904
27;18;18;0.715
28;21;21;0.855
29;20;20;0.718
30;15;15;0.791
31;16;16;0.756
32;18;18;0.854
33;19;19;0.834
34;16;16;0.784
35;17;17;0.772
36;16;16;0.814
37;17;17;0.802
38;15;15;0.845
39;21;21;0.886
40;21;21;0.741
41;16;16;0.653
42;19;19;0.763
43;18;18;0.794
44;18;18;0.886
45;16;16;0.874
46;16;16;0.864
47;18;18;0.835
48;18;18;0.833
49;17;17;0.853
50;18;18;0.782
51;15;15;0.731
52;20;20;0.7
53;18;18;0.741
54;19;19;0.843
55;18;18;0.825
56;18;18;0.916
57;15;15;0.942
58;19;19;0.777
59;20;20;0.796
60;18;18;0.794
61;16;16;0.805
62;19;19;0.773
63;17;17;0.764
64;17;17;0.792
65;19;19;0.792
66;16;16;0.825
67;17;17;0.751
68;20;20;0.762
69;19;19;1.029
70;15;15;0.794
71;21;21;0.763
72;15;15;0.81
73;19;19;0.825
74;15;15;0.847
75;19;19;0.71
76;20;20;0.826
77;19;19;0.794
78;18;18;0.753
79;15;15;0.841
80;20;20;0.746
81;18;18;0.751
82;20;20;0.742
83;20;20;0.846
84;18;18;0.732
85;19;19;0.815
86;18;18;0.763
87;18;18;0.773
88;21;21;0.721
89;18;18;0.937
90;18;18;0.724
91;18;18;0.76
92;17;17;0.752
93;19;19;0.814
94;17;17;0.76
95;19;19;0.801
96;20;20;0.848
97;18;18;0.866
98;18;18;0.711
99;20;20;0.708
