i;nbseat;nb_added;execution_time
0;1;1;0.037
1;6;6;0.078
2;1;1;0.004
3;1;1;0.145
4;1;1;0.005
5;3;3;0.1
6;1;1;0.004
7;7;7;0.078
8;3;3;0.069
9;4;4;0.074
10;1;1;0.003
11;1;1;0.004
12;1;1;0.003
13;1;1;0.003
14;1;1;0.002
15;1;1;0.002
16;5;5;0.101
17;1;1;0.002
18;1;1;0.004
19;1;1;0.003
20;1;1;0.003
21;1;1;0.003
22;1;1;0.155
23;1;1;0.002
24;1;1;0.152
25;1;1;0.001
26;5;5;0.057
27;4;4;0.082
28;1;1;0.002
29;6;6;0.073
30;5;5;0.064
31;4;4;0.087
32;1;1;0.126
33;7;7;0.086
34;1;1;0.001
35;4;4;0.06
36;1;1;0.003
37;4;4;0.084
38;1;1;0.002
39;1;1;0.002
40;2;2;0.069
41;1;1;0.002
42;1;1;0.002
43;8;8;0.081
44;5;5;0.079
45;4;4;0.065
46;4;4;0.065
47;1;1;0.003
48;1;1;0.003
49;3;3;0.059
50;1;1;0.002
51;3;3;0.069
52;7;7;0.091
53;4;4;0.069
54;1;1;0.002
55;1;1;0.001
56;3;3;0.078
57;1;1;0.002
58;1;1;0.002
59;1;1;0.002
60;1;1;0.002
61;1;1;0.001
62;6;6;0.071
63;1;1;0.002
64;7;7;0.067
65;1;1;0.003
66;1;1;0.001
67;1;1;0.092
68;1;1;0.002
69;2;2;0.048
70;1;1;0.002
71;1;1;0.001
72;1;1;0.001
73;1;1;0.001
74;1;1;0.002
75;1;1;0.002
76;1;1;0.001
77;1;1;0.002
78;1;1;0.002
79;1;1;0.002
80;1;1;0.001
81;1;1;0.001
82;1;1;0.002
83;1;1;0.001
84;1;1;0.001
85;1;1;0.001
86;4;4;0.065
87;1;1;0.002
88;4;4;0.065
89;1;1;0.002
90;1;1;0.002
91;1;1;0.002
92;1;1;0.003
93;1;1;0.002
94;5;5;0.067
95;6;6;0.081
96;1;1;0.089
97;4;4;0.063
98;1;1;0.002
99;1;1;0.002
