i;nbseat;nb_added;execution_time
0;13;13;0.783
1;15;15;0.773
2;14;14;0.782
3;19;19;0.782
4;15;15;0.762
5;17;17;0.787
6;18;18;0.77
7;16;16;0.792
8;15;15;0.78
9;18;18;0.83
10;14;14;0.832
11;16;16;0.799
12;14;14;0.769
13;17;17;0.802
14;18;18;0.809
15;17;17;0.785
16;18;18;0.792
17;17;17;0.807
18;15;15;0.791
19;19;19;0.902
20;16;16;0.83
21;21;21;0.826
22;16;16;0.824
23;19;19;0.791
24;20;20;0.804
25;16;16;0.807
26;19;19;0.799
27;18;18;0.813
28;16;16;0.807
29;18;18;0.804
30;16;16;0.794
31;17;17;0.81
32;16;16;0.787
33;19;19;0.795
34;16;16;0.792
35;16;16;0.82
36;18;18;0.836
37;16;16;0.831
38;14;14;0.799
39;17;17;0.796
40;19;19;0.776
41;19;19;0.76
42;18;18;0.783
43;15;15;0.795
44;19;19;0.79
45;18;18;0.764
46;18;18;0.813
47;20;20;0.783
48;18;18;0.812
49;14;14;0.782
50;12;12;0.78
51;19;19;0.793
52;18;18;0.784
53;19;19;0.799
54;15;15;0.782
55;13;13;0.775
56;17;17;0.802
57;15;15;0.813
58;18;18;0.803
59;15;15;0.759
60;12;12;0.808
61;18;18;0.794
62;21;21;0.814
63;13;13;0.812
64;17;17;0.772
65;14;14;0.783
66;18;18;0.778
67;13;13;0.792
68;18;18;0.791
69;15;15;0.803
70;21;21;0.822
71;19;19;0.811
72;16;16;0.761
73;16;16;0.83
74;17;17;0.804
75;14;14;0.783
76;18;18;0.778
77;14;14;0.802
78;17;17;0.784
79;18;18;0.781
80;17;17;0.801
81;19;19;0.791
82;21;21;0.781
83;19;19;0.813
84;17;17;0.783
85;19;19;0.813
86;16;16;0.792
87;19;19;0.781
88;13;13;0.827
89;16;16;0.804
90;13;13;0.763
91;18;18;0.783
92;12;12;0.774
93;21;21;0.813
94;17;17;0.802
95;16;16;0.781
96;15;15;0.794
97;14;14;0.754
98;15;15;0.783
99;14;14;0.774
