i;nbseat;nb_added;execution_time
0;24;24;0.182
1;24;24;0.188
2;21;21;0.178
3;24;24;0.199
4;23;23;0.189
5;23;23;0.194
6;22;22;0.193
7;25;25;0.207
8;22;22;0.205
9;22;22;0.184
10;24;24;0.187
11;23;23;0.193
12;22;22;0.183
13;20;20;0.176
14;24;24;0.199
15;19;19;0.157
16;20;20;0.17
17;23;23;0.191
18;21;21;0.172
19;23;23;0.19
20;22;22;0.186
21;24;24;0.194
22;22;22;0.193
23;22;22;0.203
24;21;21;0.18
25;24;24;0.197
26;22;22;0.198
27;20;20;0.168
28;23;23;0.187
29;22;22;0.174
30;23;23;0.191
31;21;21;0.189
32;21;21;0.176
33;22;22;0.188
34;22;22;0.191
35;22;22;0.183
36;22;22;0.193
37;20;20;0.176
38;22;22;0.188
39;21;21;0.183
40;22;22;0.184
41;22;22;0.183
42;24;24;0.203
43;22;22;0.198
44;25;25;0.207
45;23;23;0.198
46;22;22;0.18
47;17;17;0.158
48;21;21;0.177
49;22;22;0.19
50;21;21;0.179
51;24;24;0.207
52;23;23;0.202
53;21;21;0.178
54;23;23;0.185
55;23;23;0.18
56;23;23;0.194
57;21;21;0.193
58;22;22;0.183
59;21;21;0.181
60;23;23;0.206
61;25;25;0.198
62;21;21;0.182
63;22;22;0.188
64;24;24;0.196
65;23;23;0.188
66;19;19;0.171
67;20;20;0.166
68;23;23;0.187
69;23;23;0.187
70;22;22;0.176
71;18;18;0.158
72;23;23;0.182
73;24;24;0.191
74;22;22;0.184
75;23;23;0.19
76;22;22;0.182
77;22;22;0.191
78;24;24;0.202
79;23;23;0.192
80;20;20;0.167
81;25;25;0.191
82;21;21;0.183
83;23;23;0.2
84;22;22;0.191
85;21;21;0.184
86;23;23;0.187
87;22;22;0.178
88;21;21;0.18
89;21;21;0.188
90;19;19;0.174
91;21;21;0.184
92;23;23;0.199
93;25;25;0.195
94;20;20;0.177
95;24;24;0.205
96;22;22;0.186
97;22;22;0.195
98;20;20;0.175
99;23;23;0.198
