i;nbseat;nb_added;execution_time
0;14;14;0.741
1;16;16;0.839
2;13;13;0.664
3;15;15;0.654
4;14;14;0.762
5;14;14;0.742
6;16;16;0.767
7;16;16;0.732
8;11;11;0.721
9;15;15;0.666
10;17;17;0.727
11;15;15;0.91
12;12;12;0.778
13;13;13;0.681
14;15;15;0.825
15;13;13;0.805
16;17;17;0.839
17;13;13;0.761
18;15;15;0.815
19;16;16;0.723
20;14;14;0.837
21;17;17;0.749
22;17;17;0.776
23;11;11;0.767
24;15;15;0.81
25;17;17;0.706
26;16;16;0.767
27;12;12;0.758
28;18;18;0.678
29;13;13;0.688
30;15;15;0.743
31;15;15;0.785
32;16;16;0.811
33;15;15;0.761
34;14;14;0.73
35;17;17;0.694
36;14;14;0.775
37;15;15;0.732
38;14;14;0.779
39;16;16;0.78
40;17;17;0.854
41;14;14;0.691
42;13;13;0.683
43;15;15;0.721
44;13;13;0.769
45;12;12;0.654
46;13;13;0.829
47;14;14;0.912
48;14;14;0.699
49;13;13;0.818
50;12;12;0.876
51;16;16;1.23
52;15;15;0.831
53;15;15;0.748
54;15;15;0.744
55;15;15;0.787
56;16;16;0.658
57;16;16;0.747
58;15;15;0.66
59;14;14;0.725
60;15;15;0.715
61;14;14;0.73
62;13;13;0.757
63;15;15;0.76
64;13;13;0.811
65;15;15;0.724
66;16;16;0.752
67;17;17;0.796
68;12;12;0.666
69;14;14;0.734
70;14;14;0.762
71;15;15;0.806
72;17;17;0.724
73;15;15;0.849
74;13;13;0.906
75;18;18;0.752
76;14;14;0.766
77;12;12;0.817
78;16;16;0.73
79;15;15;0.672
80;15;15;0.692
81;16;16;0.81
82;15;15;0.694
83;16;16;0.761
84;14;14;0.868
85;11;11;0.775
86;16;16;0.713
87;16;16;0.715
88;14;14;0.956
89;16;16;0.76
90;11;11;0.803
91;13;13;0.807
92;16;16;0.77
93;17;17;0.758
94;15;15;0.69
95;17;17;0.772
96;16;16;0.745
97;15;15;0.696
98;15;15;0.758
99;14;14;0.811
